#,Temp,Pressure,Backflow
732,-0.05%,-1.52%,-7.25%
576,0.54%,-1.51%,-23.10%
645,2.35%,-1.50%,18.53%
622,-0.29%,-1.49%,-18.51%
583,0.80%,-1.47%,0.58%
710,0.05%,-1.47%,6.84%
911,-0.13%,-1.46%,-3.17%
530,-0.52%,-1.46%,-3.44%
12,1.03%,-1.46%,-2.39%
446,1.02%,-1.44%,-12.32%
66,0.65%,-1.44%,-23.58%
973,-0.08%,-1.42%,-10.71%
418,-0.13%,-1.42%,-31.43%
701,0.53%,-1.42%,-0.22%
535,-0.15%,-1.41%,-0.39%
721,0.09%,-1.41%,-3.75%
529,0.47%,-1.41%,-11.31%
282,0.02%,-1.40%,26.43%
882,0.30%,-1.39%,-10.58%
659,-0.89%,-1.39%,15.84%
106,-0.41%,-1.39%,-27.42%
780,0.01%,-1.38%,-10.29%
717,0.16%,-1.36%,-3.89%
270,0.33%,-1.35%,16.88%
57,0.50%,-1.35%,-26.15%
8,-0.62%,-1.34%,-0.79%
579,0.31%,-1.34%,-20.86%
715,-0.33%,-1.34%,-7.40%
793,0.47%,-1.34%,-3.40%
735,0.38%,-1.34%,-8.76%
559,0.36%,-1.33%,-22.22%
390,-0.29%,-1.33%,-25.56%
823,0.41%,-1.33%,-15.60%
702,0.10%,-1.32%,-3.00%
774,0.15%,-1.32%,-12.30%
326,0.01%,-1.31%,-16.95%
252,-0.15%,-1.31%,-21.10%
706,0.17%,-1.30%,-9.87%
758,0.34%,-1.29%,-7.26%
765,0.03%,-1.29%,-8.69%
987,0.54%,-1.29%,-12.24%
543,-0.14%,-1.28%,-7.84%
498,0.23%,-1.27%,32.50%
961,-0.01%,-1.27%,-0.88%
4,-1.91%,-1.27%,11.44%
217,0.07%,-1.27%,-18.90%
53,0.13%,-1.27%,-20.56%
316,-0.42%,-1.26%,-17.52%
72,1.80%,-1.25%,-24.94%
262,0.67%,-1.25%,-3.62%
905,0.23%,-1.25%,10.07%
544,0.42%,-1.23%,-6.26%
881,-0.06%,-1.20%,-14.43%
731,0.81%,-1.20%,-1.01%
21,0.63%,-1.19%,-3.00%
639,0.38%,-1.19%,4.04%
625,-0.70%,-1.19%,-10.91%
91,-0.20%,-1.16%,-17.66%
621,0.06%,-1.16%,-25.91%
704,0.18%,-1.16%,-1.16%
852,0.05%,-1.15%,-13.57%
174,0.04%,-1.15%,5.41%
534,0.57%,-1.13%,-0.97%
67,-0.34%,-1.13%,-29.67%
664,0.61%,-1.13%,18.13%
58,0.19%,-1.11%,-24.26%
337,-0.36%,-1.11%,8.19%
632,-0.19%,-1.10%,4.20%
130,-1.73%,-1.10%,29.67%
62,-0.49%,-1.10%,-25.87%
493,1.43%,-1.10%,11.60%
28,-0.19%,-1.09%,-4.58%
802,-1.34%,-1.09%,32.10%
36,1.05%,-1.09%,22.26%
888,0.70%,-1.09%,20.12%
400,0.21%,-1.09%,-18.72%
725,0.12%,-1.09%,-5.34%
521,0.14%,-1.07%,-8.18%
