#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
752,0.42%,769,4.90%,892,-2.16%,585,749,,,
894,0.16%,586,6.30%,923,8.67%,737,749,,,
352,1.47%,969,0.53%,558,8.03%,728,752,,,
183,0.52%,812,1.50%,685,10.71%,763,753,,,
263,0.29%,682,3.43%,839,8.88%,742,754,,,
15,0.28%,681,6.84%,932,2.65%,654,756,,,
370,-0.01%,441,10.31%,973,26.66%,855,756,,,
740,0.04%,491,8.02%,945,22.34%,836,757,,,
140,3.31%,994,-0.91%,330,61.99%,948,757,,,
672,1.16%,952,0.24%,499,20.51%,823,758,,,
365,1.08%,947,1.52%,690,1.63%,640,759,,,
515,0.24%,656,2.74%,794,21.26%,831,760,,,
487,1.36%,963,0.30%,515,17.14%,804,761,,,
9,0.98%,936,2.39%,763,-2.34%,584,761,,,
698,0.63%,857,0.84%,610,19.49%,816,761,,,
313,0.18%,606,2.98%,815,28.04%,862,761,,,
222,0.36%,730,4.63%,882,3.98%,673,762,,,
657,0.05%,501,5.25%,907,31.96%,879,762,,,
791,0.09%,544,15.99%,991,11.43%,769,768,,,
475,0.01%,457,13.45%,988,27.90%,861,769,,,
671,0.81%,906,0.19%,492,40.99%,912,770,,,
161,0.62%,853,0.00%,469,232.85%,994,772,,,
145,2.64%,990,-0.68%,360,101.11%,969,773,,,
267,0.88%,925,1.57%,695,6.47%,706,775,,,
248,0.23%,651,1.99%,733,59.83%,944,776,,,
20,1.91%,982,2.92%,808,-3.68%,551,780,,,
355,0.07%,523,10.12%,970,26.44%,854,782,,,
205,0.41%,757,20.37%,997,-1.29%,599,784,,,
799,0.77%,899,1.41%,672,12.60%,782,784,,,
403,1.25%,959,1.69%,709,6.72%,711,793,,,
460,1.90%,981,0.03%,472,49.96%,934,796,,,
297,0.08%,537,10.59%,979,31.48%,875,797,,,
149,4.39%,997,-0.37%,413,164.34%,984,798,,,
479,1.94%,983,0.87%,616,15.98%,797,799,,,
700,0.58%,842,2.56%,775,14.51%,791,803,,,
996,0.45%,789,10.46%,977,2.69%,655,807,,,
291,0.49%,802,1.66%,706,42.90%,917,808,,,
364,0.72%,885,3.92%,862,6.30%,705,817,,,
485,0.32%,707,3.28%,831,43.58%,919,819,,,
644,0.21%,631,7.34%,942,33.67%,889,821,,,
676,0.19%,610,5.50%,914,61.85%,946,823,,,
156,5.49%,1000,0.00%,471,331.91%,1000,824,,,
641,0.70%,881,2.34%,756,22.64%,838,825,,,
142,2.78%,992,0.39%,532,66.81%,954,826,,,
458,0.32%,705,8.34%,950,20.68%,824,826,,,
294,0.41%,758,4.45%,877,26.20%,848,828,,,
997,1.47%,970,1.12%,643,34.54%,895,836,,,
808,0.35%,727,4.14%,869,48.52%,930,842,,,
481,0.89%,926,2.70%,790,18.63%,813,843,,,
308,0.72%,886,2.63%,780,29.21%,869,845,,,
455,2.33%,985,3.18%,824,9.35%,749,853,,,
165,3.90%,995,0.69%,588,143.23%,976,853,,,
502,1.15%,950,1.20%,654,70.76%,958,854,,,
646,0.86%,922,2.75%,797,26.40%,850,856,,,
662,1.22%,957,4.37%,875,11.63%,777,870,,,
137,0.46%,791,7.03%,934,37.67%,905,877,,,
148,0.72%,890,2.69%,789,145.57%,977,885,,,
266,1.15%,949,7.22%,939,11.51%,773,887,,,
186,0.84%,915,4.91%,893,37.39%,904,904,,,
306,1.45%,967,7.27%,940,18.03%,807,905,,,
461,4.43%,998,2.60%,777,60.25%,945,907,,,
504,0.72%,889,4.30%,873,81.13%,962,908,,,
691,0.89%,928,5.69%,916,33.53%,887,910,,,
368,0.64%,860,16.08%,992,36.51%,902,918,,,
680,0.73%,892,5.19%,904,104.60%,970,922,,,
474,1.22%,955,5.80%,919,39.37%,909,928,,,
132,1.13%,948,6.63%,929,38.78%,907,928,,,
648,1.01%,939,5.51%,915,51.37%,935,930,,,
667,1.22%,954,10.01%,968,36.96%,903,942,,,
135,1.46%,968,12.74%,985,33.58%,888,947,,,
684,3.07%,993,4.67%,884,146.30%,978,952,,,
163,2.77%,991,5.06%,901,152.88%,980,957,,,
147,5.15%,999,6.48%,925,157.55%,981,968,,,
159,2.44%,989,10.44%,975,211.34%,993,986,,,
