#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
375,-0.97%,87,1.03%,635,-12.39%,322,348,,,
628,-0.21%,273,-0.65%,368,-9.53%,404,348,,,
178,-0.24%,252,-2.11%,162,0.78%,631,348,,,
394,-0.09%,363,0.73%,598,-25.78%,86,349,,,
960,-0.57%,144,0.21%,496,-9.44%,407,349,,,
647,-1.96%,29,-2.50%,128,33.93%,891,349,,,
401,0.08%,542,-0.67%,364,-21.47%,144,350,,,
838,-0.70%,124,0.99%,629,-13.25%,299,351,,,
141,-1.04%,80,-5.62%,29,58.92%,943,351,,,
75,-0.76%,113,5.47%,912,-29.64%,29,351,,,
235,0.13%,570,-1.04%,309,-19.32%,176,352,,,
990,-0.03%,423,-2.55%,125,-5.59%,508,352,,,
879,-0.40%,189,0.92%,625,-15.97%,243,352,,,
748,0.02%,465,-1.01%,317,-14.35%,279,354,,,
992,-0.07%,391,-2.21%,152,-5.26%,518,354,,,
568,-0.01%,437,-0.32%,422,-17.94%,204,354,,,
946,-0.11%,343,0.42%,542,-18.94%,179,355,,,
524,-0.21%,270,-1.69%,201,-1.48%,594,355,,,
862,0.06%,509,-1.03%,311,-15.91%,246,355,,,
421,-0.29%,218,2.09%,743,-24.64%,106,356,,,
739,-0.19%,290,-5.03%,34,9.11%,747,357,,,
170,-0.97%,86,-6.99%,17,101.01%,968,357,,,
284,-1.47%,52,0.86%,615,-9.47%,406,358,,,
769,0.17%,591,-1.56%,221,-15.21%,262,358,,,
4,-1.91%,30,-1.27%,274,11.44%,770,358,,,
510,-0.47%,174,-4.79%,36,28.65%,864,358,,,
617,-0.30%,213,1.55%,693,-19.70%,170,359,,,
824,0.19%,621,-2.02%,170,-14.06%,285,359,,,
13,-1.40%,55,-0.75%,357,3.53%,665,359,,,
852,0.05%,493,-1.15%,290,-13.57%,295,359,,,
223,-0.06%,402,-1.03%,310,-10.99%,366,359,,,
143,-1.10%,74,-4.56%,40,84.41%,964,359,,,
237,0.19%,618,-0.77%,353,-24.42%,108,360,,,
238,-0.27%,230,1.23%,655,-18.12%,196,360,,,
289,-0.09%,361,-7.27%,15,6.48%,707,361,,,
944,0.41%,763,-1.85%,186,-21.91%,137,362,,,
734,-0.12%,333,-0.61%,374,-10.66%,379,362,,,
